Date,High,Low,Open,Close,Volume,Adj Close
2019-01-02,226.5,219.0,226.5,219.5,32900482.0,202.7030792236328
2019-01-03,218.0,214.0,214.0,215.5,34087620.0,199.00917053222656
2019-01-04,211.5,206.5,211.5,208.0,65943521.0,192.08309936523438
2019-01-07,214.0,211.0,212.0,213.0,35442176.0,196.7004852294922
2019-01-08,212.5,210.0,212.0,211.0,22694481.0,194.85354614257812
2019-01-09,216.5,211.0,212.0,215.5,46295446.0,199.00917053222656
2019-01-10,216.5,214.5,216.0,216.0,20754593.0,199.4709014892578
2019-01-11,220.5,218.0,219.0,220.5,28102288.0,203.62657165527344
2019-01-14,220.0,217.0,218.5,218.5,17612296.0,201.77960205078125
2019-01-15,221.0,215.5,216.5,221.0,38882923.0,204.08828735351562
2019-01-16,220.0,217.5,218.5,217.5,28978282.0,200.85614013671875
2019-01-17,221.0,218.0,218.0,220.5,21163986.0,203.62657165527344
2019-01-18,220.0,217.5,219.0,218.5,49627569.0,201.77960205078125
2019-01-21,223.0,220.0,220.0,221.0,29384866.0,204.08828735351562
2019-01-22,223.0,219.0,220.0,223.0,28926483.0,205.93527221679688
2019-01-23,222.0,220.0,221.5,220.5,16671213.0,203.62657165527344
2019-01-24,222.5,220.5,222.5,222.5,26417924.0,205.47349548339844
2019-01-25,227.0,225.0,226.5,226.0,46692764.0,208.70567321777344
2019-01-28,229.5,228.0,229.5,229.0,26026257.0,211.47610473632812
2019-01-29,225.0,222.0,222.5,222.5,41122520.0,205.47349548339844
2019-01-30,221.5,220.0,220.5,221.0,44755945.0,204.08828735351562
2019-02-11,229.0,226.5,228.0,228.0,78307106.0,210.55264282226562
2019-02-12,230.0,229.0,230.0,230.0,29406670.0,212.3995819091797
2019-02-13,232.0,228.5,232.0,229.0,28634925.0,211.47610473632812
2019-02-14,230.0,226.0,229.5,227.0,23647751.0,209.62916564941406
2019-02-15,229.0,226.5,229.0,227.0,22369799.0,209.62916564941406
2019-02-18,230.5,228.5,229.0,230.0,16978916.0,212.3995819091797
2019-02-19,230.5,229.0,230.0,229.0,16577023.0,211.47610473632812
2019-02-20,234.5,231.0,231.5,234.5,30479710.0,216.5552215576172
2019-02-21,236.5,234.5,235.5,236.5,33764489.0,218.40219116210938
2019-02-22,236.5,234.0,235.5,236.5,22032163.0,218.40219116210938
2019-02-25,239.0,236.0,237.5,238.0,24105138.0,219.78741455078125
2019-02-26,240.0,236.5,239.0,239.5,24522789.0,221.172607421875
2019-02-27,239.5,237.0,238.5,239.0,35240889.0,220.7108917236328
2019-03-04,239.5,234.5,239.5,235.5,39655513.0,217.47869873046875
2019-03-05,234.5,232.5,234.0,233.0,22641407.0,215.17002868652344
2019-03-06,235.5,233.5,235.0,234.0,20433226.0,216.09349060058594
2019-03-07,235.0,233.0,235.0,234.0,17126192.0,216.09349060058594
2019-03-08,231.5,229.0,231.0,230.0,22190659.0,212.3995819091797
2019-03-11,230.5,227.5,228.0,230.5,23200793.0,212.861328125
2019-03-12,237.0,232.5,233.0,235.5,23588085.0,217.47869873046875
2019-03-13,237.0,234.0,234.0,237.0,20500195.0,218.86392211914062
2019-03-14,239.0,234.0,239.0,234.5,17175356.0,216.5552215576172
2019-03-15,239.5,235.5,237.0,239.0,33649729.0,220.7108917236328
2019-03-18,241.0,239.0,239.5,241.0,26856532.0,222.55783081054688
2019-03-19,240.5,238.0,239.0,240.5,14479009.0,222.0960693359375
2019-03-20,242.0,239.5,242.0,242.0,22975971.0,223.48129272460938
2019-03-21,245.5,241.0,242.5,245.5,26179502.0,226.71347045898438
2019-03-22,248.5,244.5,248.0,248.5,22931467.0,229.48391723632812
2019-03-25,243.5,240.5,240.5,241.5,19211254.0,223.01954650878906
2019-03-26,244.0,241.0,243.0,244.0,19920170.0,225.32826232910156
2019-03-27,242.5,240.5,242.0,241.5,22590089.0,223.01954650878906
2019-03-28,242.5,240.0,240.5,242.0,13933054.0,223.48129272460938
2019-03-29,245.5,240.5,243.0,245.5,28220810.0,226.71347045898438
2019-04-01,251.0,245.0,251.0,245.5,35330656.0,226.71347045898438
2019-04-02,249.5,246.0,249.5,246.0,24105053.0,227.17520141601562
2019-04-03,249.0,246.5,249.0,246.5,24945323.0,227.63693237304688
2019-04-08,253.0,250.5,251.0,253.0,45184821.0,233.6395263671875
2019-04-09,254.0,252.0,253.0,254.0,22355674.0,234.56301879882812
2019-04-10,254.5,252.0,253.0,254.0,25849934.0,234.56301879882812
2019-04-11,254.0,251.5,253.0,252.0,24896840.0,232.71604919433594
2019-04-12,253.0,251.0,251.5,252.0,13548148.0,232.71604919433594
2019-04-15,256.0,254.0,255.0,255.5,17192002.0,235.9482421875
2019-04-16,257.0,255.5,257.0,257.0,19652648.0,237.3334503173828
2019-04-17,263.0,259.5,260.0,261.5,37864191.0,241.4890899658203
